Point Id,Point Class,Date/Time,Easting,Northing,Ellip. Hgt.,Ortho. Hgt.,Geoid Sep.,Posn. + Hgt. Qlty
RTCM-Ref 0000,Reference,05/17/2017 17:59:42,394604.5659,4990861.1429,310.7495,-,-,0.0000
0001,Measured,05/17/2017 18:00:08,394762.9472,4990717.9356,295.1995,-,-,0.0134
0002,Measured,05/17/2017 18:02:52,394768.1681,4990719.2221,295.0872,-,-,0.0107
0003,Measured,05/17/2017 18:03:38,394775.5672,4990719.4732,294.9907,-,-,0.0164
0004,Measured,05/17/2017 18:05:23,394788.2865,4990719.9099,294.8377,-,-,0.0233
0005,Measured,05/17/2017 18:06:13,394790.2561,4990718.8733,294.8666,-,-,0.0163
0006,Measured,05/17/2017 18:07:06,394790.3093,4990716.6063,294.8827,-,-,0.1304
0007,Measured,05/17/2017 18:08:04,394786.0245,4990708.6007,294.9278,-,-,0.0153
0008,Measured,05/17/2017 18:08:54,394784.2479,4990705.2716,294.9303,-,-,0.0172
0009,Measured,05/17/2017 18:09:54,394779.7647,4990696.9015,294.8889,-,-,0.0181
0010,Measured,05/17/2017 18:12:34,394777.8863,4990695.7467,294.8613,-,-,0.0246
0011,Measured,05/17/2017 18:12:59,394775.9255,4990696.8175,294.8474,-,-,0.0165
0012,Measured,05/17/2017 18:13:26,394772.2613,4990702.7127,294.9411,-,-,0.0575
0013,Measured,05/17/2017 18:14:05,394765.3270,4990713.7825,295.1135,-,-,0.0120
0014,Measured,05/17/2017 18:14:36,394764.7997,4990716.1371,295.1651,-,-,0.0320
0015,Measured,05/17/2017 18:15:05,394765.9079,4990718.2849,295.1357,-,-,0.0137
0016,Measured,05/17/2017 18:22:29,394775.0537,4990719.4228,295.2107,-,-,0.0122
0017,Measured,05/17/2017 18:23:17,394775.0247,4990719.3426,295.2354,-,-,0.0710
0018,Measured,05/17/2017 18:24:51,394775.1250,4990719.4204,295.2162,-,-,0.0122
0019,Measured,05/17/2017 18:32:48,394773.8122,4990717.2996,295.6478,-,-,0.0131
0020,Measured,05/17/2017 18:33:44,394784.7245,4990711.4681,295.5753,-,-,0.0129
0021,Measured,05/17/2017 18:34:27,394780.8996,4990704.3935,295.6039,-,-,0.0416
0022,Measured,05/17/2017 18:35:44,394770.0600,4990710.1695,295.6940,-,-,0.0383
0023,Measured,05/17/2017 18:39:35,394763.1704,4990730.8421,295.3254,-,-,0.0105
0024,Measured,05/17/2017 18:40:10,394763.1162,4990733.1116,295.2741,-,-,0.0080
0025,Measured,05/17/2017 18:40:55,394748.2133,4990732.6222,295.5037,-,-,0.0077
0026,Measured,05/17/2017 18:48:54,394748.1993,4990730.4101,295.5374,-,-,0.0099
0027,Measured,05/17/2017 18:52:07,394747.1606,4990728.8503,295.5292,-,-,0.0375
0028,Measured,05/17/2017 18:53:04,394756.9719,4990726.9133,295.3925,-,-,0.0091
0029,Measured,05/17/2017 19:06:11,394744.9332,4990724.2015,297.4352,-,-,0.0109
0030,Measured,05/17/2017 19:08:02,394753.1429,4990711.5627,297.2530,-,-,0.0128
0031,Measured,05/17/2017 19:09:01,394751.2136,4990710.2913,297.2584,-,-,0.0116
0032,Measured,05/17/2017 19:11:26,394742.9929,4990722.9091,297.4581,-,-,0.0111
